run_id,budget,call_idx,action_type,eligible_count
hcr_H1_b080,80,73,EXPLORE_UNCOVERED,25
hcr_H1_b080,80,74,DISCOVER_CORE,27
hcr_H1_b080,80,74,EXPLORE_UNCOVERED,25
hcr_H1_b080,80,75,DISCOVER_CORE,26
hcr_H1_b080,80,75,EXPLORE_UNCOVERED,25
hcr_H1_b080,80,76,DISCOVER_CORE,25
hcr_H1_b080,80,76,EXPLORE_UNCOVERED,25
hcr_H1_b080,80,77,DISCOVER_CORE,24
hcr_H1_b080,80,77,EXPLORE_UNCOVERED,25
hcr_H1_b080,80,78,DISCOVER_CORE,24
hcr_H1_b080,80,78,EXPLORE_UNCOVERED,25
hcr_H1_b080,80,79,DISCOVER_CORE,23
hcr_H1_b080,80,79,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,0,DISCOVER_CORE,87
hcr_H1_b100,100,0,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,1,DISCOVER_CORE,86
hcr_H1_b100,100,1,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,2,DISCOVER_CORE,85
hcr_H1_b100,100,2,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,3,DISCOVER_CORE,84
hcr_H1_b100,100,3,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,4,DISCOVER_CORE,83
hcr_H1_b100,100,4,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,5,DISCOVER_CORE,83
hcr_H1_b100,100,5,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,6,DISCOVER_CORE,82
hcr_H1_b100,100,6,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,7,DISCOVER_CORE,82
hcr_H1_b100,100,7,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,8,DISCOVER_CORE,81
hcr_H1_b100,100,8,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,9,DISCOVER_CORE,80
hcr_H1_b100,100,9,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,10,DISCOVER_CORE,80
hcr_H1_b100,100,10,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,11,DISCOVER_CORE,79
hcr_H1_b100,100,11,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,12,DISCOVER_CORE,78
hcr_H1_b100,100,12,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,13,DISCOVER_CORE,78
hcr_H1_b100,100,13,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,14,DISCOVER_CORE,77
hcr_H1_b100,100,14,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,15,DISCOVER_CORE,76
hcr_H1_b100,100,15,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,16,DISCOVER_CORE,76
hcr_H1_b100,100,16,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,17,DISCOVER_CORE,75
hcr_H1_b100,100,17,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,18,DISCOVER_CORE,74
hcr_H1_b100,100,18,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,19,DISCOVER_CORE,73
hcr_H1_b100,100,19,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,20,DISCOVER_CORE,72
hcr_H1_b100,100,20,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,21,DISCOVER_CORE,71
hcr_H1_b100,100,21,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,22,DISCOVER_CORE,70
hcr_H1_b100,100,22,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,23,DISCOVER_CORE,69
hcr_H1_b100,100,23,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,24,DISCOVER_CORE,68
hcr_H1_b100,100,24,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,25,DISCOVER_CORE,67
hcr_H1_b100,100,25,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,26,DISCOVER_CORE,66
hcr_H1_b100,100,26,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,27,DISCOVER_CORE,65
hcr_H1_b100,100,27,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,28,DISCOVER_CORE,64
hcr_H1_b100,100,28,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,29,DISCOVER_CORE,63
hcr_H1_b100,100,29,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,30,DISCOVER_CORE,62
hcr_H1_b100,100,30,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,31,DISCOVER_CORE,61
hcr_H1_b100,100,31,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,32,DISCOVER_CORE,60
hcr_H1_b100,100,32,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,33,DISCOVER_CORE,59
hcr_H1_b100,100,33,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,34,DISCOVER_CORE,58
hcr_H1_b100,100,34,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,35,DISCOVER_CORE,57
hcr_H1_b100,100,35,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,36,DISCOVER_CORE,56
hcr_H1_b100,100,36,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,37,DISCOVER_CORE,55
hcr_H1_b100,100,37,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,38,DISCOVER_CORE,54
hcr_H1_b100,100,38,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,39,DISCOVER_CORE,53
hcr_H1_b100,100,39,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,40,DISCOVER_CORE,52
hcr_H1_b100,100,40,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,41,DISCOVER_CORE,51
