method,setting,budget,trial,recall,precision,invalid_rate,candidate_calls,audit_calls
adaptive_greedy,label_K10_min15,800,25,0.2222222222222222,0.36363636363636365,0.5454545454545454,775,25
candidate_only,label_K10_min15,800,26,0.2777777777777778,0.45454545454545453,0.6363636363636364,800,0
fixed_mix_80_20,label_K10_min15,800,26,0.2222222222222222,0.5,0.625,640,160
fixed_mix_50_50,label_K10_min15,800,26,0.1111111111111111,0.5,0.5,400,400
adaptive_greedy,label_K10_min15,800,26,0.2222222222222222,0.36363636363636365,0.5454545454545454,775,25
candidate_only,label_K10_min15,800,27,0.2777777777777778,0.45454545454545453,0.6363636363636364,800,0
fixed_mix_80_20,label_K10_min15,800,27,0.2222222222222222,0.5,0.625,640,160
fixed_mix_50_50,label_K10_min15,800,27,0.16666666666666666,0.6,0.4,400,400
adaptive_greedy,label_K10_min15,800,27,0.2222222222222222,0.36363636363636365,0.5454545454545454,775,25
candidate_only,label_K10_min15,800,28,0.2777777777777778,0.45454545454545453,0.6363636363636364,800,0
fixed_mix_80_20,label_K10_min15,800,28,0.16666666666666666,0.42857142857142855,0.5714285714285714,640,160
fixed_mix_50_50,label_K10_min15,800,28,0.16666666666666666,0.5,0.5,400,400
adaptive_greedy,label_K10_min15,800,28,0.2222222222222222,0.36363636363636365,0.5454545454545454,775,25
candidate_only,label_K10_min15,800,29,0.2777777777777778,0.45454545454545453,0.6363636363636364,800,0
fixed_mix_80_20,label_K10_min15,800,29,0.1111111111111111,0.2857142857142857,0.5714285714285714,640,160
fixed_mix_50_50,label_K10_min15,800,29,0.1111111111111111,0.5,0.5,400,400
adaptive_greedy,label_K10_min15,800,29,0.2222222222222222,0.36363636363636365,0.5454545454545454,775,25
candidate_only,label_K10_min15,1200,0,0.3888888888888889,0.4375,0.625,1200,0
fixed_mix_80_20,label_K10_min15,1200,0,0.2777777777777778,0.45454545454545453,0.7272727272727273,960,240
fixed_mix_50_50,label_K10_min15,1200,0,0.1111111111111111,0.25,0.625,600,600
adaptive_greedy,label_K10_min15,1200,0,0.3333333333333333,0.42857142857142855,0.6428571428571429,1175,25
candidate_only,label_K10_min15,1200,1,0.3888888888888889,0.4375,0.625,1200,0
fixed_mix_80_20,label_K10_min15,1200,1,0.3333333333333333,0.46153846153846156,0.6153846153846154,960,240
fixed_mix_50_50,label_K10_min15,1200,1,0.1111111111111111,0.5,0.75,600,600
adaptive_greedy,label_K10_min15,1200,1,0.3888888888888889,0.4666666666666667,0.6,1175,25
candidate_only,label_K10_min15,1200,2,0.3888888888888889,0.4375,0.625,1200,0
fixed_mix_80_20,label_K10_min15,1200,2,0.2777777777777778,0.38461538461538464,0.6153846153846154,960,240
fixed_mix_50_50,label_K10_min15,1200,2,0.2777777777777778,0.5,0.3,600,600
adaptive_greedy,label_K10_min15,1200,2,0.3888888888888889,0.4666666666666667,0.6,1175,25
candidate_only,label_K10_min15,1200,3,0.3888888888888889,0.4375,0.625,1200,0
fixed_mix_80_20,label_K10_min15,1200,3,0.2777777777777778,0.4166666666666667,0.6666666666666666,960,240
fixed_mix_50_50,label_K10_min15,1200,3,0.16666666666666666,0.375,0.875,600,600
adaptive_greedy,label_K10_min15,1200,3,0.3888888888888889,0.4666666666666667,0.6,1175,25
candidate_only,label_K10_min15,1200,4,0.3888888888888889,0.4375,0.625,1200,0
fixed_mix_80_20,label_K10_min15,1200,4,0.2222222222222222,0.36363636363636365,0.7272727272727273,960,240
fixed_mix_50_50,label_K10_min15,1200,4,0.1111111111111111,0.4,0.6,600,600
adaptive_greedy,label_K10_min15,1200,4,0.3888888888888889,0.4666666666666667,0.6,1175,25
candidate_only,label_K10_min15,1200,5,0.3888888888888889,0.4375,0.625,1200,0
fixed_mix_80_20,label_K10_min15,1200,5,0.2777777777777778,0.38461538461538464,0.6923076923076923,960,240
fixed_mix_50_50,label_K10_min15,1200,5,0.16666666666666666,0.375,0.625,600,600
adaptive_greedy,label_K10_min15,1200,5,0.3888888888888889,0.4666666666666667,0.6,1175,25
candidate_only,label_K10_min15,1200,6,0.3888888888888889,0.4375,0.625,1200,0
fixed_mix_80_20,label_K10_min15,1200,6,0.2222222222222222,0.3333333333333333,0.6666666666666666,960,240
fixed_mix_50_50,label_K10_min15,1200,6,0.16666666666666666,0.3333333333333333,0.6666666666666666,600,600
adaptive_greedy,label_K10_min15,1200,6,0.3888888888888889,0.4666666666666667,0.6,1175,25
candidate_only,label_K10_min15,1200,7,0.3888888888888889,0.4375,0.625,1200,0
fixed_mix_80_20,label_K10_min15,1200,7,0.2777777777777778,0.38461538461538464,0.6153846153846154,960,240
fixed_mix_50_50,label_K10_min15,1200,7,0.1111111111111111,0.4,0.6,600,600
adaptive_greedy,label_K10_min15,1200,7,0.3888888888888889,0.4666666666666667,0.6,1175,25
candidate_only,label_K10_min15,1200,8,0.3888888888888889,0.4375,0.625,1200,0
