workload_id,video_id,query_id,cost_tier,verify_scan_cost_ratio,deadline_level,deadline_fraction,base_seed,chunk_count,policy,normalized_anytime_event_auc,terminal_event_recall,committed_events,oracle_failures,scan_actions,verify_actions
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,10834653013843659315,,random_temporal,0.2525949646643103,0.5208333333333334,25,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,10834653013843659315,,largest_gap,0.3167145170789162,0.5625,27,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,10834653013843659315,,datb_sv,0.2721952296819788,0.5208333333333334,25,0,258,194
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,10834653013843659315,3,exsample_end_to_end_adapted,0.24547261484098964,0.3958333333333333,19,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,10834653013843659315,6,exsample_end_to_end_adapted,0.313898704358069,0.5833333333333334,28,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,10834653013843659315,12,exsample_end_to_end_adapted,0.3175058892815067,0.5416666666666666,26,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,13566490167741466441,,sequential,0.23667550058892844,0.4166666666666667,20,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,13566490167741466441,,uniform_stride,0.29904667255594836,0.5625,27,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,13566490167741466441,,random_temporal,0.32924764428739695,0.625,30,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,13566490167741466441,,largest_gap,0.3167145170789162,0.5625,27,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,13566490167741466441,,datb_sv,0.2721952296819788,0.5208333333333334,25,0,258,194
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,13566490167741466441,3,exsample_end_to_end_adapted,0.3108068315665479,0.5,24,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,13566490167741466441,6,exsample_end_to_end_adapted,0.2035851001177854,0.3333333333333333,16,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,1,0.4,13566490167741466441,12,exsample_end_to_end_adapted,0.3443941401648991,0.6041666666666666,29,0,226,226
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,2123151880353550199,,sequential,0.32193511974872313,0.5833333333333334,28,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,2123151880353550199,,uniform_stride,0.40663034943070375,0.7083333333333334,34,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,2123151880353550199,,random_temporal,0.36270612485276743,0.7083333333333334,34,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,2123151880353550199,,largest_gap,0.452493129171574,0.8333333333333334,40,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,2123151880353550199,,datb_sv,0.3934408127208472,0.7083333333333334,34,0,382,297
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,2123151880353550199,3,exsample_end_to_end_adapted,0.47259030231645355,0.8541666666666666,41,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,2123151880353550199,6,exsample_end_to_end_adapted,0.3699204946996466,0.7291666666666666,35,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,2123151880353550199,12,exsample_end_to_end_adapted,0.42265410286611643,0.75,36,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,12469531558194382158,,sequential,0.32193511974872313,0.5833333333333334,28,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,12469531558194382158,,uniform_stride,0.40663034943070375,0.7083333333333334,34,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,12469531558194382158,,random_temporal,0.36459560266980817,0.6666666666666666,32,0,340,339
