mode,width_mode,scenario,planner,budget,runs,missing_mass_fraction_mean,missing_mass_fraction_std,missing_mass_fraction_p025,missing_mass_fraction_p975,found_positive_bins_mean,found_positive_bins_std,found_positive_bins_p025,found_positive_bins_p975,audit_calls_mean,audit_calls_std,audit_calls_p025,audit_calls_p975,discover_calls_mean,discover_calls_std,discover_calls_p025,discover_calls_p975,repair_calls_mean,repair_calls_std,repair_calls_p025,repair_calls_p975,phi_upper_missing_mass_mean,phi_upper_missing_mass_std,phi_upper_missing_mass_p025,phi_upper_missing_mass_p975,phi_true_missing_mass_mean,phi_true_missing_mass_std,phi_true_missing_mass_p025,phi_true_missing_mass_p975
full,narrow,weak,v1_full_planner,80,120,0.811902,0.059012,0.687481,0.908186,15.600000,5.104573,7.000000,26.000000,28.308333,0.544607,28.000000,30.000000,21.991667,13.353836,1.000000,41.000000,29.700000,13.432299,11.000000,51.000000,14.960791,4.426640,9.009154,26.633868,0.811902,0.059012,0.687481,0.908186
full,narrow,weak,v1_full_planner,120,120,0.734138,0.081244,0.547827,0.853046,22.141667,7.299881,10.950000,39.000000,42.258333,0.508197,42.000000,44.000000,40.325000,19.419562,1.000000,67.000000,37.416667,19.405147,11.000000,77.000000,12.513010,3.648945,7.588964,22.284346,0.734138,0.081244,0.547827,0.853046
full,narrow,weak,v1_full_planner,160,120,0.627006,0.117011,0.393330,0.801779,31.233333,10.866411,13.975000,50.150000,56.233333,0.442217,56.000000,57.000000,53.175000,26.892583,6.000000,93.000000,50.591667,26.929691,11.000000,96.050000,10.736632,3.097571,6.877168,18.907717,0.627006,0.117011,0.393330,0.801779
full,narrow,wrong,top_prior_only,20,120,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.000000,0.000000,20.000000,20.000000,0.000000,0.000000,0.000000,0.000000,23.963540,6.086344,16.129032,40.837585,1.000000,0.000000,1.000000,1.000000
full,narrow,wrong,top_prior_only,40,120,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.000000,0.000000,40.000000,40.000000,0.000000,0.000000,0.000000,0.000000,23.963540,6.086344,16.129032,40.837585,1.000000,0.000000,1.000000,1.000000
full,narrow,wrong,top_prior_only,80,120,0.999593,0.002212,0.989344,1.000000,0.033333,0.179505,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,80.000000,0.000000,80.000000,80.000000,0.000000,0.000000,0.000000,0.000000,23.963133,6.086285,16.129032,40.837585,0.999593,0.002212,0.989344,1.000000
full,narrow,wrong,top_prior_only,120,120,0.998828,0.004211,0.987434,1.000000,0.091667,0.316118,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,120.000000,0.000000,120.000000,120.000000,0.000000,0.000000,0.000000,0.000000,23.962369,6.085900,16.129032,40.837585,0.998828,0.004211,0.987434,1.000000
full,narrow,wrong,top_prior_only,160,120,0.997627,0.005352,0.984817,1.000000,0.200000,0.439697,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,160.000000,0.000000,160.000000,160.000000,0.000000,0.000000,0.000000,0.000000,23.961167,6.086117,16.128831,40.837585,0.997627,0.005352,0.984817,1.000000
full,narrow,wrong,uniform,20,120,0.990537,0.009406,0.969602,1.000000,0.825000,0.833292,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,20.000000,0.000000,20.000000,20.000000,0.000000,0.000000,0.000000,0.000000,23.954077,6.085302,16.120565,40.837064,0.990537,0.009406,0.969602,1.000000
full,narrow,wrong,uniform,40,120,0.980656,0.013889,0.951123,1.000000,1.691667,1.250306,0.000000,4.025000,0.000000,0.000000,0.000000,0.000000,40.000000,0.000000,40.000000,40.000000,0.000000,0.000000,0.000000,0.000000,23.944196,6.084564,16.112500,40.817166,0.980656,0.013889,0.951123,1.000000
