call_idx,unit_id,action_type,surrogate_score,oracle_outcome,event_f1_before,event_f1_after,realized_event_f1_delta
70,283,DISCOVER_CORE,0.0021548709712758,positive,0.36363636363636365,0.411764705882353,0.04812834224598933
71,300,DISCOVER_CORE,0.0021528094962106,negative,0.411764705882353,0.411764705882353,0.0
72,148,DISCOVER_CORE,0.0021490950487489,negative,0.411764705882353,0.411764705882353,0.0
73,64,DISCOVER_CORE,0.0021402290381787,negative,0.411764705882353,0.411764705882353,0.0
74,51,DISCOVER_CORE,0.0021399953572831,negative,0.411764705882353,0.411764705882353,0.0
75,3,DISCOVER_CORE,0.0021340483188525,negative,0.411764705882353,0.411764705882353,0.0
76,176,DISCOVER_CORE,0.002132128693242,positive,0.411764705882353,0.411764705882353,0.0
77,259,DISCOVER_CORE,0.0021268885919963,negative,0.411764705882353,0.411764705882353,0.0
78,84,DISCOVER_CORE,0.0021191788872043,negative,0.411764705882353,0.411764705882353,0.0
79,266,DISCOVER_CORE,0.0021150616548889,negative,0.411764705882353,0.411764705882353,0.0
80,74,DISCOVER_CORE,0.0021113780075954,negative,0.411764705882353,0.411764705882353,0.0
81,241,DISCOVER_CORE,0.0021027109530821,negative,0.411764705882353,0.411764705882353,0.0
82,93,DISCOVER_CORE,0.0021023804576449,negative,0.411764705882353,0.411764705882353,0.0
83,345,DISCOVER_CORE,0.0021020949617194,negative,0.411764705882353,0.411764705882353,0.0
84,223,DISCOVER_CORE,0.0021019048366816,negative,0.411764705882353,0.411764705882353,0.0
85,98,DISCOVER_CORE,0.0020979398132303,negative,0.411764705882353,0.411764705882353,0.0
86,216,DISCOVER_CORE,0.0020959511781912,negative,0.411764705882353,0.411764705882353,0.0
87,156,DISCOVER_CORE,0.0020938643807499,negative,0.411764705882353,0.411764705882353,0.0
88,169,DISCOVER_CORE,0.002093643365582,negative,0.411764705882353,0.411764705882353,0.0
89,232,DISCOVER_CORE,0.0020879412090963,negative,0.411764705882353,0.411764705882353,0.0
90,235,DISCOVER_CORE,0.0020859064501517,negative,0.411764705882353,0.411764705882353,0.0
91,200,DISCOVER_CORE,0.0020831802197326,negative,0.411764705882353,0.411764705882353,0.0
92,195,DISCOVER_CORE,0.0020789889104167,positive,0.411764705882353,0.4571428571428572,0.04537815126050421
93,181,DISCOVER_CORE,0.0020629055668999,negative,0.4571428571428572,0.4571428571428572,0.0
94,30,DISCOVER_CORE,0.0020520970107966,negative,0.4571428571428572,0.4571428571428572,0.0
95,328,DISCOVER_CORE,0.0020270948799798,negative,0.4571428571428572,0.4571428571428572,0.0
96,20,DISCOVER_CORE,0.0020151115616225,negative,0.4571428571428572,0.4571428571428572,0.0
97,188,DISCOVER_CORE,0.0020143077122121,negative,0.4571428571428572,0.4571428571428572,0.0
98,0,DISCOVER_CORE,0.0020142520376587,negative,0.4571428571428572,0.4571428571428572,0.0
99,162,DISCOVER_CORE,0.0020133470199948,negative,0.4571428571428572,0.4571428571428572,0.0
