scope,method,domain,video_id,query_id,budget,event_precision,event_recall,event_f1,tiou_03,tiou_05,matched_mean_iou,verified_positive_units,verified_event_count,verified_event_yield,logical_oracle_calls,returned_event_count,overmerge,oversplit
source_video_average,PSTR-5:4-FROZEN,__within_video_average__,long_video_dataset3,__within_video_query_average__,100,0.9166666666666666,0.4230769230769231,0.5789473684210527,0.038461538461538464,0.038461538461538464,0.1252574067815596,15.0,12.0,0.12,100.0,12.0,0.0,1.0
source_video_average,PSTR-5:4-FROZEN,__within_video_average__,realcartest,__within_video_query_average__,5,1.0,0.125,0.22134387351778656,0.05,0.025,0.26382247460680985,2.5,2.5,0.5,5.0,2.5,0.0,0.0
source_video_average,PSTR-5:4-FROZEN,__within_video_average__,realcartest,__within_video_query_average__,10,1.0,0.175,0.2971014492753623,0.07500000000000001,0.025,0.2787753657822398,3.5,3.5,0.35,10.0,3.5,0.0,0.0
source_video_average,PSTR-5:4-FROZEN,__within_video_average__,realcartest,__within_video_query_average__,20,1.0,0.4,0.5696040868454662,0.07500000000000001,0.025,0.15741996426706556,8.0,8.0,0.4,20.0,8.0,0.0,0.0
source_video_average,PSTR-5:4-FROZEN,__within_video_average__,realcartest,__within_video_query_average__,50,0.753968253968254,0.6000000000000001,0.6656346749226005,0.175,0.1,0.24669357723534396,17.5,16.0,0.32,50.0,16.0,0.0,4.0
source_video_average,PSTR-5:4-FROZEN,__within_video_average__,realcartest,__within_video_query_average__,80,0.7807017543859649,0.7749999999999999,0.7773608505315823,0.275,0.125,0.24965237325421738,25.0,20.0,0.25,80.0,20.0,0.0,4.5
source_video_average,PSTR-5:4-FROZEN,__within_video_average__,realcartest,__within_video_query_average__,100,0.8571428571428571,0.9,0.8780487804878049,0.35,0.25,0.26563550622152937,32.5,21.0,0.21000000000000002,100.0,21.0,0.0,3.0
macro_across_source_videos,ARC-CACHED-REPLAY-v1,__macro__,__macro_across_source_videos__,__macro__,5,0.25,0.0125,0.023809523809523808,0.0,0.0,0.017500000000001136,0.25,0.25,0.05,3.9,0.25,0.0,0.0
macro_across_source_videos,ARC-CACHED-REPLAY-v1,__macro__,__macro_across_source_videos__,__macro__,10,0.35,0.023846153846153847,0.0442039442039442,0.005,0.0,0.045154589371981906,0.5,0.5,0.05,7.65,0.5,0.0,0.0
macro_across_source_videos,ARC-CACHED-REPLAY-v1,__macro__,__macro_across_source_videos__,__macro__,20,0.54,0.07288461538461538,0.12151078551078554,0.0175,0.0025,0.07650299914364422,1.7000000000000002,1.6,0.08,15.15,1.6,0.0,0.05
macro_across_source_videos,ARC-CACHED-REPLAY-v1,__macro__,__macro_across_source_videos__,__macro__,50,0.7266666666666667,0.18403846153846154,0.2677483579638752,0.048846153846153845,0.026346153846153846,0.10707344794325767,5.5,4.300000000000001,0.08600000000000001,37.65,4.300000000000001,0.0,0.25
macro_across_source_videos,ARC-CACHED-REPLAY-v1,__macro__,__macro_across_source_videos__,__macro__,80,0.7263022752960834,0.29653846153846153,0.38471398336323936,0.08673076923076924,0.06673076923076923,0.14434454372005734,9.2,7.0,0.0875,60.15,7.0,0.0,0.4
macro_across_source_videos,ARC-CACHED-REPLAY-v1,__macro__,__macro_across_source_videos__,__macro__,100,0.7301396316102198,0.36096153846153844,0.44232986353729387,0.09807692307692308,0.08807692307692308,0.14063581171729145,11.2,8.45,0.08622705314009663,74.25,8.45,0.0,0.4
macro_across_source_videos,PSTR-5:4-FROZEN,__macro__,__macro_across_source_videos__,__macro__,5,0.5,0.0625,0.11067193675889328,0.025,0.0125,0.13191123730340493,1.25,1.25,0.25,5.0,1.25,0.0,0.0
macro_across_source_videos,PSTR-5:4-FROZEN,__macro__,__macro_across_source_videos__,__macro__,10,0.5,0.0875,0.14855072463768115,0.037500000000000006,0.0125,0.1393876828911199,1.75,1.75,0.175,10.0,1.75,0.0,0.0
macro_across_source_videos,PSTR-5:4-FROZEN,__macro__,__macro_across_source_videos__,__macro__,20,1.0,0.27692307692307694,0.41813537675606643,0.037500000000000006,0.0125,0.11169944929586068,6.0,6.0,0.30000000000000004,20.0,6.0,0.0,0.0
macro_across_source_videos,PSTR-5:4-FROZEN,__macro__,__macro_across_source_videos__,__macro__,50,0.8055555555555556,0.41538461538461546,0.514635519279482,0.0875,0.05,0.1570064333925542,12.25,11.5,0.23,50.0,11.5,0.0,2.5
macro_across_source_videos,PSTR-5:4-FROZEN,__macro__,__macro_across_source_videos__,__macro__,80,0.8134278002699056,0.5990384615384615,0.6707317073170732,0.15673076923076923,0.08173076923076923,0.19839414919760368,19.0,16.5,0.20625,80.0,16.5,0.0,3.25
macro_across_source_videos,PSTR-5:4-FROZEN,__macro__,__macro_across_source_videos__,__macro__,100,0.8869047619047619,0.6615384615384615,0.7284980744544287,0.1942307692307692,0.14423076923076922,0.1954464565015445,23.75,16.5,0.165,100.0,16.5,0.0,2.0
