dataset,method,method_variant,seed,budget,exact_oracle_calls,selected_positive_units,selected_distinct_reference_events,positive_duplicate_burden,event_precision,event_recall,event_f1,event_count_error,predicted_event_count,reference_event_count,tiou_03,tiou_05,matched_mean_iou,overmerge,oversplit,returned_seconds,overcoverage_ratio,event_recall_per_returned_minute
development,random,uniform_nested,8,20,20.0,2.0,2.0,0.0,1.0,0.07692307692307693,0.14285714285714288,24.0,2.0,26.0,0.0,0.0,0.09695786864931787,0.0,0.0,20.0,0.13495276653171537,0.23076923076923078
development,random,uniform_nested,8,50,50.0,5.0,4.0,1.0,0.8,0.15384615384615385,0.25806451612903225,21.0,5.0,26.0,0.0,0.0,0.0834789343246612,0.0,1.0,50.0,0.3373819163292884,0.18461538461538463
development,random,uniform_nested,8,80,80.0,9.0,7.0,2.0,0.875,0.2692307692307692,0.411764705882353,18.0,8.0,26.0,0.038461538461538464,0.038461538461538464,0.2189158448356572,0.0,1.0,90.0,0.6072874493927192,0.1794871794871795
development,random,uniform_nested,8,100,100.0,11.0,8.0,3.0,0.8888888888888888,0.3076923076923077,0.4571428571428572,17.0,9.0,26.0,0.07692307692307693,0.038461538461538464,0.2157908313935274,0.0,1.0,110.0,0.7422402159244345,0.16783216783216784
development,random,uniform_nested,9,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,random,uniform_nested,9,10,10.0,1.0,1.0,0.0,1.0,0.038461538461538464,0.07407407407407407,25.0,1.0,26.0,0.0,0.0,0.06999999999998181,0.0,0.0,10.0,0.06747638326585768,0.23076923076923078
development,random,uniform_nested,9,20,20.0,3.0,3.0,0.0,1.0,0.11538461538461539,0.20689655172413793,23.0,3.0,26.0,0.0,0.0,0.0879719124328744,0.0,0.0,30.0,0.20242914979757304,0.23076923076923078
development,random,uniform_nested,9,50,50.0,8.0,4.0,4.0,0.8,0.15384615384615385,0.25806451612903225,21.0,5.0,26.0,0.038461538461538464,0.0,0.14543680297397396,0.0,1.0,80.0,0.5398110661268615,0.11538461538461539
development,random,uniform_nested,9,80,80.0,9.0,5.0,4.0,0.8333333333333334,0.19230769230769232,0.3125,20.0,6.0,26.0,0.038461538461538464,0.0,0.13034944237918006,0.0,1.0,90.0,0.6072874493927192,0.12820512820512822
development,random,uniform_nested,9,100,100.0,10.0,6.0,4.0,0.8571428571428571,0.23076923076923078,0.36363636363636365,19.0,7.0,26.0,0.038461538461538464,0.0,0.12029120198265082,0.0,1.0,100.0,0.6747638326585768,0.13846153846153847
development,random,uniform_nested,10,5,5.0,1.0,1.0,0.0,1.0,0.038461538461538464,0.07407407407407407,25.0,1.0,26.0,0.0,0.0,0.12391573729863686,0.0,0.0,10.0,0.06747638326585768,0.23076923076923078
development,random,uniform_nested,10,10,10.0,1.0,1.0,0.0,1.0,0.038461538461538464,0.07407407407407407,25.0,1.0,26.0,0.0,0.0,0.12391573729863686,0.0,0.0,10.0,0.06747638326585768,0.23076923076923078
development,random,uniform_nested,10,20,20.0,2.0,1.0,1.0,0.5,0.038461538461538464,0.07142857142857144,24.0,2.0,26.0,0.0,0.0,0.12391573729863686,0.0,1.0,20.0,0.13495276653171537,0.11538461538461539
development,random,uniform_nested,10,50,50.0,4.0,2.0,2.0,0.5,0.07692307692307693,0.13333333333333336,22.0,4.0,26.0,0.038461538461538464,0.038461538461538464,0.5292475882754946,0.0,2.0,40.0,0.26990553306343074,0.11538461538461539
