replicate,metric,median,mean
140,delta_F1,-0.01355942376950775,-0.012470988395358101
140,delta_EventRecall,-0.010638297872340425,-0.010638297872340425
140,delta_AnytimeAUC,-0.012680155305849927,-0.009231597391641666
141,delta_F1,0.0069023569023569,0.009143385687839081
141,delta_EventRecall,0.00609756097560975,0.007577330125332192
141,delta_AnytimeAUC,0.007912120399960934,0.00474283136551729
142,delta_F1,0.0,0.0029179640123195745
142,delta_EventRecall,0.0,0.0030318755798776497
142,delta_AnytimeAUC,0.007912120399960934,0.002311328107289045
143,delta_F1,-0.00326530612244895,-0.0033496092039509173
143,delta_EventRecall,0.0,-0.003027157931153783
143,delta_AnytimeAUC,-0.0019037036511618532,-0.002544122053538711
144,delta_F1,0.0,0.0029179640123195745
144,delta_EventRecall,0.0,0.0030318755798776505
144,delta_AnytimeAUC,0.011067726952077556,0.0033631969579945853
145,delta_F1,-0.00326530612244895,-0.002814194170818992
145,delta_EventRecall,0.0,-0.0025467440361057418
145,delta_AnytimeAUC,-0.0019037036511618532,-0.002156074731145189
