run_id,selector,seed,budget,legal_partition_count_before,legal_partition_count_after,ceiling_f1_before,ceiling_f1_after,ceiling_partition_equal,public_f1_before,public_f1_after,public_partition_equal,positive_contains_345_346,new_ceiling_partition_invariants_pass,new_public_partition_invariants_pass,complete_equivalence_pass
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s006_b80,RANDOM_CONTROLLED,6,80,1,1,0.4705882352941176,0.47058823529411764,True,0.4705882352941176,0.47058823529411764,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s006_b100,RANDOM_CONTROLLED,6,100,1,1,0.5142857142857142,0.5142857142857142,True,0.5142857142857142,0.5142857142857142,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s007_b5,RANDOM_CONTROLLED,7,5,1,1,0.1428571428571428,0.14285714285714285,True,0.1428571428571428,0.14285714285714288,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s007_b10,RANDOM_CONTROLLED,7,10,1,1,0.2068965517241379,0.20689655172413793,True,0.2068965517241379,0.20689655172413793,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s007_b20,RANDOM_CONTROLLED,7,20,1,1,0.3225806451612903,0.3225806451612903,True,0.3225806451612903,0.32258064516129037,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s007_b50,RANDOM_CONTROLLED,7,50,1,1,0.4242424242424242,0.42424242424242425,True,0.4242424242424242,0.42424242424242425,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s007_b80,RANDOM_CONTROLLED,7,80,2,2,0.5142857142857142,0.5142857142857142,True,0.5142857142857142,0.5142857142857142,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s007_b100,RANDOM_CONTROLLED,7,100,4,4,0.5142857142857142,0.5142857142857142,True,0.5142857142857142,0.5142857142857142,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s008_b5,RANDOM_CONTROLLED,8,5,1,1,0.074074074074074,0.07407407407407407,True,0.074074074074074,0.07407407407407407,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s008_b10,RANDOM_CONTROLLED,8,10,1,1,0.1428571428571428,0.14285714285714285,True,0.1428571428571428,0.14285714285714288,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s008_b20,RANDOM_CONTROLLED,8,20,1,1,0.1428571428571428,0.14285714285714285,True,0.1428571428571428,0.14285714285714288,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s008_b50,RANDOM_CONTROLLED,8,50,4,4,0.375,0.375,True,0.375,0.375,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s008_b80,RANDOM_CONTROLLED,8,80,16,16,0.5555555555555556,0.5555555555555556,True,0.5555555555555556,0.5555555555555556,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s008_b100,RANDOM_CONTROLLED,8,100,104,104,0.6829268292682926,0.6829268292682927,True,0.6666666666666667,0.6666666666666667,True,False,True,True,True
