benchmark_id,run_id,method,method_variant,seed,horizon_budget,call_idx,unit_id,action_type,selection_reason,oracle_label_after_query,oracle_cost,cumulative_logical_calls,state_before_hash,state_after_hash
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,38,61,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,39,c2d2ca0d9556561e6614b8fca94d3a9a7fa0e5caa0e4b2c5641eaca7ad7591e2,ad83da1676d5767c34c655aa3a9ab1fbe8f1a72513e7c5164100c05b00b8ff95
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,39,96,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,40,ad83da1676d5767c34c655aa3a9ab1fbe8f1a72513e7c5164100c05b00b8ff95,a328e6e86d7c5d554e4da23dcf2565af09ef2ea70d64ee5112c0be1bf12b4f20
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,40,55,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,41,a328e6e86d7c5d554e4da23dcf2565af09ef2ea70d64ee5112c0be1bf12b4f20,2d55b2ed71f575deda0823f23ac311a4be5220f3195a1409dddbce2dabf2b036
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,41,35,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,42,2d55b2ed71f575deda0823f23ac311a4be5220f3195a1409dddbce2dabf2b036,2badbcb2395453e8717fa5108bffa0b35be400e592d4717a8a79945ea489cb51
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,42,342,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,43,2badbcb2395453e8717fa5108bffa0b35be400e592d4717a8a79945ea489cb51,a6c3672954f93288fba30a871a10ffe395ee9afef5649b06a962180ac8047077
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,43,52,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,44,a6c3672954f93288fba30a871a10ffe395ee9afef5649b06a962180ac8047077,692fa89926220aa05c82ebd5eba644c82bf8c2b00b38ce38af18d935bd1ade21
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,44,217,DISCOVER_CORE,maximum frozen structural-risk reduction,positive,1,45,692fa89926220aa05c82ebd5eba644c82bf8c2b00b38ce38af18d935bd1ade21,2b73dba44173c8d36ad4155aad4508aa16b8fb918cd219399450d7dbdfad899c
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,45,15,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,46,2b73dba44173c8d36ad4155aad4508aa16b8fb918cd219399450d7dbdfad899c,d12c11521adc476f0a58bd96e616e826c81071d443ac1cfe90c319e55fbfe966
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,46,242,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,47,d12c11521adc476f0a58bd96e616e826c81071d443ac1cfe90c319e55fbfe966,9e683b409de3c04067db69c00c545e0426c5b0b1159d1704a9a94cfca1b6ed14
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,47,264,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,48,9e683b409de3c04067db69c00c545e0426c5b0b1159d1704a9a94cfca1b6ed14,f4df2b6311516ef18c2fbf42170dde8e58878a220ea4a4d1379e3ed7e9b5281f
