video_id,query_id,proxy_family,budget,verified_positive_count,traces_in_stratum,primary_geometry,geometry_min,geometry_max,geometry_range,coverage_range,effective_independent_comparison_count,high_geometry_trace_hash,low_geometry_trace_hash
WUHAN,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,20,3,2,number_of_temporal_regions_touched,19.0,20.0,1.0,0.08645533141210371,1,a316c4ca857f2ba7caa4c7afa272d1ae9b975f7ea7c479e77c07f6dd5f39ce2b,2420fed2459e6ce58053e6b7b4a019d87867fcf5d2d6547f67bfc6ee5a8e9088
WUHAN,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,20,4,3,number_of_temporal_regions_touched,18.0,20.0,2.0,0.03458213256484144,1,4661c076c3bf3394df25edc0f3e7d93cef3b7e8e98966404cffeda27a3a51b60,a41bf59826bc89be19cd5924cb6e7e6d793352883ca8b301e1e1702275f1cf39
WUHAN,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,20,9,3,number_of_temporal_regions_touched,14.0,17.0,3.0,0.19596541786743515,1,cd6cb4fe2b78638a3850c5e16f9235c32691e5823f9fa02ebf58e209d6cc5326,38e3bcfbf474849af54cb916395040264cba86ba99a1079214efb8697b37bdc6
WUHAN,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,50,10,2,number_of_temporal_regions_touched,45.0,50.0,5.0,0.011527377521613813,1,f1cb4d4d9a9c0e5cd75cefe91e360e32ec682d9eb06538369471ccd8024b4ed1,f7d1bcff75ff5ad79a382695469d2f1aec1c7bda3e42f3a61dbbc531bcbcfdcf
WUHAN,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,50,12,3,number_of_temporal_regions_touched,42.0,45.0,3.0,0.05187319884726216,1,7decc945e36ba2481aab2e44f781651cae8634adeef9c51bc00e4b5379db65f2,5b0f689f01544a041790b3e9790786dec9b99e14a410c45b4ed60808921835aa
WUHAN,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,50,15,2,number_of_temporal_regions_touched,36.0,39.0,3.0,0.0,1,97d746647207c2e8334ef226feb33153754776c2449c8ee0cee4d7a478a9a7a6,1c7a46664137c7e2790a63f08ed0f451eb7e8fa71490aad48b27c8b585326467
WUHAN,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,80,11,2,number_of_temporal_regions_touched,4.0,58.0,54.0,0.4495677233429395,1,eee5f2adecd210625f4e3ff23f0fb02c1ad555592a8d0d0c2abae749d5c241c3,492e02a76631b567c661c7d02c278a037e69e6b42b6a25e51c721527430fc09b
WUHAN,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,80,15,2,number_of_temporal_regions_touched,59.0,61.0,2.0,0.0,1,82e115e4c42af89c60a95eaf852309590470cc6d31133a72a2d9a02726190e9d,efc9f0f9b932f2c348e1db2bb74ccdbfcad017237fe100161d731e7153efca08
WUHAN,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,80,20,2,number_of_temporal_regions_touched,65.0,80.0,15.0,0.02017291066282423,1,a7bc8810ae97886f9d008adab18c6af185774b5bd583a8c4dc7b95839500b3cb,539f1255df3f77fbe20a22862283153308cedbc9642566f68c796acf40739868
WUHAN,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,100,14,2,number_of_temporal_regions_touched,5.0,69.0,64.0,0.4495677233429395,1,528ac92d5ec59a84bc0dfb7960ea169d44e9cba40d67306ddab0ad3152c7da87,8d645d35f813b432996f816151f4e1dfbcf43a09eb043f0da1ece4e64b04df00
WUHAN,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,100,24,2,number_of_temporal_regions_touched,72.0,76.0,4.0,0.0,1,d028fa932283ac9f30d1a5af132fa4ceb4e1938764fba58af6217a0ecbcb7876,5c5306d3b6c2386e7e23f74907a29abf9ec9c4dc6b303bbf28610cf854ed10bf
WUHAN,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,100,31,4,number_of_temporal_regions_touched,51.0,78.0,27.0,0.06916426512968299,1,8e36168221a55f192f5608bbed99ce962d9fe4e3352d93eac10276aa3a16a87f,472cc1a005ae10c82581bbcc30c6b1fed6b86d407a888619f3dc8a5f9881a7a9
