dataset,K,tau,proxy_threshold,budget_ratio,seed,method,reported_confidence,actual_clip_recall,actual_clip_precision,mIoU,oracle_ratio,violation_0.8,violation_0.9,num_true_clips,num_candidate_clips
uadetrac,20,20,p99,0.2,0,uniform_sampling_stitch,,0.0,0.0,0.0,0.19999761211137113,True,True,35,0
uadetrac,20,20,p99,0.2,0,fixed_proxy_threshold_stitch,,0.0,0.0,0.00847972972972973,0.0,True,True,35,2
uadetrac,20,20,p99,0.2,0,supg_style_frame_selection_stitch,,0.08571428571428572,0.05454545454545454,0.1754027720175019,0.18996847987009885,True,True,35,55
uadetrac,20,20,p99,0.2,0,arc_style_surrogate,1.0,0.0,0.0,0.04027944149312131,0.05972109460814748,True,True,35,21
uadetrac,20,20,p99,0.2,1,uniform_sampling_stitch,,0.0,0.0,0.0,0.19999761211137113,True,True,35,0
uadetrac,20,20,p99,0.2,1,fixed_proxy_threshold_stitch,,0.0,0.0,0.00847972972972973,0.0,True,True,35,2
uadetrac,20,20,p99,0.2,1,supg_style_frame_selection_stitch,,0.11428571428571428,0.07272727272727272,0.18352681282940786,0.1897058121209227,True,True,35,55
uadetrac,20,20,p99,0.2,1,arc_style_surrogate,1.0,0.0,0.0,0.040331351792124624,0.05972109460814748,True,True,35,21
uadetrac,20,20,p99,0.2,2,uniform_sampling_stitch,,0.0,0.0,0.0,0.19999761211137113,True,True,35,0
uadetrac,20,20,p99,0.2,2,fixed_proxy_threshold_stitch,,0.0,0.0,0.00847972972972973,0.0,True,True,35,2
uadetrac,20,20,p99,0.2,2,supg_style_frame_selection_stitch,,0.08571428571428572,0.05357142857142857,0.1751292089327158,0.1902072687329863,True,True,35,56
uadetrac,20,20,p99,0.2,2,arc_style_surrogate,1.0,0.0,0.0,0.040300205612722635,0.05972109460814748,True,True,35,21
uadetrac,20,20,p99.5,0.05,0,full_oracle,,1.0,1.0,1.0,1.0,False,False,35,35
uadetrac,20,20,p99.5,0.05,0,uniform_sampling_stitch,,0.0,0.0,0.0,0.0499904484454845,True,True,35,0
uadetrac,20,20,p99.5,0.05,0,fixed_proxy_threshold_stitch,,0.0,0.0,0.003783783783783784,0.0,True,True,35,2
uadetrac,20,20,p99.5,0.05,0,supg_style_frame_selection_stitch,,0.08571428571428572,0.05454545454545454,0.17299311249017416,0.049333779072544055,True,True,35,55
uadetrac,20,20,p99.5,0.05,0,arc_style_surrogate,1.0,0.0,0.0,0.021967961204402624,0.019258321791871626,True,True,35,8
uadetrac,20,20,p99.5,0.05,1,uniform_sampling_stitch,,0.0,0.0,0.0,0.0499904484454845,True,True,35,0
uadetrac,20,20,p99.5,0.05,1,fixed_proxy_threshold_stitch,,0.0,0.0,0.003783783783783784,0.0,True,True,35,2
uadetrac,20,20,p99.5,0.05,1,supg_style_frame_selection_stitch,,0.11428571428571428,0.07272727272727272,0.17801969372095053,0.04950093127656526,True,True,35,55
uadetrac,20,20,p99.5,0.05,1,arc_style_surrogate,1.0,0.0,0.0,0.021954440382336644,0.019258321791871626,True,True,35,8
uadetrac,20,20,p99.5,0.05,2,uniform_sampling_stitch,,0.0,0.0,0.0,0.0499904484454845,True,True,35,0
uadetrac,20,20,p99.5,0.05,2,fixed_proxy_threshold_stitch,,0.0,0.0,0.003783783783783784,0.0,True,True,35,2
uadetrac,20,20,p99.5,0.05,2,supg_style_frame_selection_stitch,,0.14285714285714285,0.09803921568627451,0.20404372121054146,0.049345718515688426,True,True,35,51
uadetrac,20,20,p99.5,0.05,2,arc_style_surrogate,1.0,0.0,0.0,0.021954440382336644,0.019258321791871626,True,True,35,8
uadetrac,20,20,p99.5,0.1,0,uniform_sampling_stitch,,0.0,0.0,0.0,0.09999283633411338,True,True,35,0
uadetrac,20,20,p99.5,0.1,0,fixed_proxy_threshold_stitch,,0.0,0.0,0.003783783783783784,0.0,True,True,35,2
uadetrac,20,20,p99.5,0.1,0,supg_style_frame_selection_stitch,,0.11428571428571428,0.07272727272727272,0.1781863603876172,0.09719900663833039,True,True,35,55
uadetrac,20,20,p99.5,0.1,0,arc_style_surrogate,1.0,0.0,0.0,0.021967961204402624,0.02925163570371078,True,True,35,8
uadetrac,20,20,p99.5,0.1,1,uniform_sampling_stitch,,0.0,0.0,0.0,0.09999283633411338,True,True,35,0
uadetrac,20,20,p99.5,0.1,1,fixed_proxy_threshold_stitch,,0.0,0.0,0.003783783783783784,0.0,True,True,35,2
uadetrac,20,20,p99.5,0.1,1,supg_style_frame_selection_stitch,,0.08571428571428572,0.05357142857142857,0.17420181360175954,0.09740197717178471,True,True,35,56
uadetrac,20,20,p99.5,0.1,1,arc_style_surrogate,1.0,0.0,0.0,0.021954440382336644,0.02925163570371078,True,True,35,8
uadetrac,20,20,p99.5,0.1,2,uniform_sampling_stitch,,0.0,0.0,0.0,0.09999283633411338,True,True,35,0
uadetrac,20,20,p99.5,0.1,2,fixed_proxy_threshold_stitch,,0.0,0.0,0.003783783783783784,0.0,True,True,35,2
uadetrac,20,20,p99.5,0.1,2,supg_style_frame_selection_stitch,,0.14285714285714285,0.09803921568627451,0.20404372121054146,0.09773628157982711,True,True,35,51
uadetrac,20,20,p99.5,0.1,2,arc_style_surrogate,1.0,0.0,0.0,0.022049946805143578,0.02925163570371078,True,True,35,8
uadetrac,20,20,p99.5,0.2,0,uniform_sampling_stitch,,0.0,0.0,0.0,0.19999761211137113,True,True,35,0
uadetrac,20,20,p99.5,0.2,0,fixed_proxy_threshold_stitch,,0.0,0.0,0.003783783783783784,0.0,True,True,35,2
uadetrac,20,20,p99.5,0.2,0,supg_style_frame_selection_stitch,,0.08571428571428572,0.05454545454545454,0.1754027720175019,0.18996847987009885,True,True,35,55
uadetrac,20,20,p99.5,0.2,0,arc_style_surrogate,1.0,0.0,0.0,0.021967961204402624,0.04926214241367782,True,True,35,8
uadetrac,20,20,p99.5,0.2,1,uniform_sampling_stitch,,0.0,0.0,0.0,0.19999761211137113,True,True,35,0
uadetrac,20,20,p99.5,0.2,1,fixed_proxy_threshold_stitch,,0.0,0.0,0.003783783783783784,0.0,True,True,35,2
uadetrac,20,20,p99.5,0.2,1,supg_style_frame_selection_stitch,,0.11428571428571428,0.07272727272727272,0.18352681282940786,0.1897058121209227,True,True,35,55
uadetrac,20,20,p99.5,0.2,1,arc_style_surrogate,1.0,0.0,0.0,0.021954440382336644,0.04926214241367782,True,True,35,8
uadetrac,20,20,p99.5,0.2,2,uniform_sampling_stitch,,0.0,0.0,0.0,0.19999761211137113,True,True,35,0
uadetrac,20,20,p99.5,0.2,2,fixed_proxy_threshold_stitch,,0.0,0.0,0.003783783783783784,0.0,True,True,35,2
uadetrac,20,20,p99.5,0.2,2,supg_style_frame_selection_stitch,,0.08571428571428572,0.05357142857142857,0.1751292089327158,0.1902072687329863,True,True,35,56
uadetrac,20,20,p99.5,0.2,2,arc_style_surrogate,1.0,0.0,0.0,0.022049946805143578,0.04926214241367782,True,True,35,8
uadetrac,20,30,p90,0.05,0,full_oracle,,1.0,1.0,1.0,1.0,False,False,28,28
uadetrac,20,30,p90,0.05,0,uniform_sampling_stitch,,0.0,0.0,0.0,0.0499904484454845,True,True,28,0
uadetrac,20,30,p90,0.05,0,fixed_proxy_threshold_stitch,,0.10714285714285714,0.08108108108108109,0.1847020277597472,0.0,True,True,28,37
uadetrac,20,30,p90,0.05,0,supg_style_frame_selection_stitch,,0.07142857142857142,0.05714285714285714,0.18203820946723426,0.049333779072544055,True,True,28,35
uadetrac,20,30,p90,0.05,0,arc_style_surrogate,0.335140306122449,0.10714285714285714,0.08333333333333333,0.1877726453272673,0.04744734705573332,True,True,28,36
uadetrac,20,30,p90,0.05,1,uniform_sampling_stitch,,0.0,0.0,0.0,0.0499904484454845,True,True,28,0
uadetrac,20,30,p90,0.05,1,fixed_proxy_threshold_stitch,,0.10714285714285714,0.08108108108108109,0.1847020277597472,0.0,True,True,28,37
uadetrac,20,30,p90,0.05,1,supg_style_frame_selection_stitch,,0.10714285714285714,0.08108108108108109,0.1847020277597472,0.04950093127656526,True,True,28,37
uadetrac,20,30,p90,0.05,1,arc_style_surrogate,0.33216,0.14285714285714285,0.1,0.21240617802692635,0.047316013181145235,True,True,28,40
uadetrac,20,30,p90,0.05,2,uniform_sampling_stitch,,0.0,0.0,0.0,0.0499904484454845,True,True,28,0
uadetrac,20,30,p90,0.05,2,fixed_proxy_threshold_stitch,,0.10714285714285714,0.08108108108108109,0.1847020277597472,0.0,True,True,28,37
uadetrac,20,30,p90,0.05,2,supg_style_frame_selection_stitch,,0.14285714285714285,0.1111111111111111,0.22240289620058493,0.049345718515688426,True,True,28,36
uadetrac,20,30,p90,0.05,2,arc_style_surrogate,0.3347388906908855,0.14285714285714285,0.10810810810810811,0.215369840541039,0.046814556569081615,True,True,28,37
uadetrac,20,30,p90,0.1,0,uniform_sampling_stitch,,0.0,0.0,0.0,0.09999283633411338,True,True,28,0
uadetrac,20,30,p90,0.1,0,fixed_proxy_threshold_stitch,,0.10714285714285714,0.08108108108108109,0.1847020277597472,0.0,True,True,28,37
uadetrac,20,30,p90,0.1,0,supg_style_frame_selection_stitch,,0.10714285714285714,0.08108108108108109,0.18493279699051643,0.09719900663833039,True,True,28,37
uadetrac,20,30,p90,0.1,0,arc_style_surrogate,0.460166468489893,0.17857142857142858,0.14705882352941177,0.2466326992797957,0.09028606905773914,True,True,28,34
uadetrac,20,30,p90,0.1,1,uniform_sampling_stitch,,0.0,0.0,0.0,0.09999283633411338,True,True,28,0
uadetrac,20,30,p90,0.1,1,fixed_proxy_threshold_stitch,,0.10714285714285714,0.08108108108108109,0.1847020277597472,0.0,True,True,28,37
uadetrac,20,30,p90,0.1,1,supg_style_frame_selection_stitch,,0.07142857142857142,0.05405405405405406,0.18132660831889788,0.09740197717178471,True,True,28,37
uadetrac,20,30,p90,0.1,1,arc_style_surrogate,0.45625635808748727,0.14285714285714285,0.09302325581395349,0.2275503085892424,0.09041740293232724,True,True,28,43
uadetrac,20,30,p90,0.1,2,uniform_sampling_stitch,,0.0,0.0,0.0,0.09999283633411338,True,True,28,0
uadetrac,20,30,p90,0.1,2,fixed_proxy_threshold_stitch,,0.10714285714285714,0.08108108108108109,0.1847020277597472,0.0,True,True,28,37
uadetrac,20,30,p90,0.1,2,supg_style_frame_selection_stitch,,0.14285714285714285,0.1111111111111111,0.22240289620058493,0.09773628157982711,True,True,28,36
uadetrac,20,30,p90,0.1,2,arc_style_surrogate,0.4565365025466893,0.17857142857142858,0.14285714285714285,0.2579968724062572,0.09032188738717226,True,True,28,35
uadetrac,20,30,p90,0.2,0,uniform_sampling_stitch,,0.0,0.0,0.0,0.19999761211137113,True,True,28,0
uadetrac,20,30,p90,0.2,0,fixed_proxy_threshold_stitch,,0.10714285714285714,0.08108108108108109,0.1847020277597472,0.0,True,True,28,37
uadetrac,20,30,p90,0.2,0,supg_style_frame_selection_stitch,,0.07142857142857142,0.05405405405405406,0.18132660831889788,0.18996847987009885,True,True,28,37
uadetrac,20,30,p90,0.2,0,arc_style_surrogate,0.5739313244569026,0.7142857142857143,0.6451612903225806,0.6235017604515164,0.17630975691293757,True,True,28,31
uadetrac,20,30,p90,0.2,1,uniform_sampling_stitch,,0.0,0.0,0.0,0.19999761211137113,True,True,28,0
uadetrac,20,30,p90,0.2,1,fixed_proxy_threshold_stitch,,0.10714285714285714,0.08108108108108109,0.1847020277597472,0.0,True,True,28,37
uadetrac,20,30,p90,0.2,1,supg_style_frame_selection_stitch,,0.10714285714285714,0.08108108108108109,0.19694943301175705,0.1897058121209227,True,True,28,37
uadetrac,20,30,p90,0.2,1,arc_style_surrogate,0.5709151472650772,0.6071428571428571,0.3953488372093023,0.536194229168731,0.1762142413677826,True,True,28,43
uadetrac,20,30,p90,0.2,2,uniform_sampling_stitch,,0.0,0.0,0.0,0.19999761211137113,True,True,28,0
uadetrac,20,30,p90,0.2,2,fixed_proxy_threshold_stitch,,0.10714285714285714,0.08108108108108109,0.1847020277597472,0.0,True,True,28,37
uadetrac,20,30,p90,0.2,2,supg_style_frame_selection_stitch,,0.07142857142857142,0.05263157894736842,0.18072905124810837,0.1902072687329863,True,True,28,38
